config,waypoint_index,success,position_error,orientation_error_rad,position_bad,orientation_bad,target_x,target_y,target_z
pose_baseline_tcp_offset_0172,0,1,3.7183e-05,7.825e-06,0,0,-0.200270285,-0.011069408,1.18252192
pose_baseline_tcp_offset_0172,1,1,0.000331686,0.000113132,0,0,-0.189888532,-0.012816252,1.188945374
pose_baseline_tcp_offset_0172,2,1,0.000660795,0.000105719,0,0,-0.174300289,-0.018425554,1.196555538
pose_baseline_tcp_offset_0172,3,1,0.00010728,2.3809e-05,0,0,-0.144757553,-0.031774679,1.211174706
pose_baseline_tcp_offset_0172,4,1,0.001597338,0.000173765,0,0,-0.12382369,-0.041186133,1.221650447
pose_baseline_tcp_offset_0172,5,1,0.000119669,2.7865e-05,0,0,-0.10244955,-0.050413239,1.231610489
pose_baseline_tcp_offset_0172,6,1,0.000188985,4.4726e-05,0,0,-0.069317396,-0.063455038,1.243489471
pose_baseline_tcp_offset_0172,7,1,0.000934257,0.000207697,0,0,-0.04670997,-0.070510163,1.248003617
pose_baseline_tcp_offset_0172,8,0,0.018490194,0.044268906,1,0,-0.012868649,-0.078707415,1.250610509
pose_baseline_tcp_offset_0172,9,0,0.037288966,0.025331031,1,0,0.009018573,-0.083493864,1.250389012
pose_baseline_tcp_offset_0172,10,0,0.044155565,0.070285973,1,0,0.028181822,-0.087495545,1.249661883
pose_baseline_tcp_offset_0172,11,0,0.056617065,0.140625562,1,1,0.051368655,-0.092234817,1.250001942
pose_baseline_tcp_offset_0172,12,0,0.065580244,0.16404376,1,1,0.066169877,-0.095778209,1.249041299
pose_baseline_tcp_offset_0172,13,0,0.076639923,0.181399656,1,1,0.087631023,-0.102173833,1.236271522
pose_baseline_tcp_offset_0172,14,0,0.081956402,0.166345984,1,1,0.100571103,-0.105611097,1.222485662
pose_baseline_tcp_offset_0172,15,0,0.086341853,0.182975074,1,1,0.108513777,-0.108872277,1.207163254
pose_baseline_tcp_offset_0172,16,0,0.090301524,0.15463899,1,1,0.10797745,-0.112388921,1.188192895
pose_baseline_tcp_offset_0172,17,0,0.086548215,0.198347385,1,1,0.102612524,-0.114548977,1.179106313
pose_baseline_tcp_offset_0172,18,0,0.082025609,0.262569628,1,1,0.092675347,-0.118264362,1.164563985
pose_baseline_tcp_offset_0172,19,0,0.081579724,0.302109567,1,1,0.085743668,-0.120688599,1.153297186
pose_baseline_tcp_offset_0172,20,0,0.083941065,0.337506303,1,1,0.078998508,-0.122132484,1.140615245
