file,suite,task,demo,num_samples,target_frame,base_xyz,mean_position_error,max_position_error,p95_position_error,p99_position_error
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_38,128,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019842,0.00042747,0.00033659,0.00039232
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_39,123,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018741,0.00040308,0.00037114,0.00039937
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_4,141,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00016895,0.00039602,0.00033005,0.00037892
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_40,150,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017706,0.0003321,0.00026479,0.00028894
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_41,136,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0002066,0.00051574,0.00032525,0.00048698
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_42,131,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00021487,0.00048087,0.00032919,0.00046046
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_43,130,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00019386,0.0004242,0.00038889,0.00042172
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_44,137,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00016746,0.00034714,0.00032964,0.00034359
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_45,136,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00020651,0.00048541,0.00036688,0.00045077
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_46,124,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018796,0.00037508,0.00036494,0.00037332
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_47,127,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018264,0.00032208,0.00032028,0.00032168
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_48,143,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018373,0.00039026,0.00036554,0.00038857
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_49,129,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00018639,0.00039204,0.00034469,0.00035055
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_5,139,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0001718,0.00038496,0.00034569,0.00036546
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_6,121,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00022121,0.00057787,0.00041283,0.00054096
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_7,141,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00016113,0.00033538,0.00031785,0.00033333
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_8,125,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00020988,0.00051501,0.00035039,0.00048571
data/armforge/raw/libero/libero_goal/open_the_middle_drawer_of_the_cabinet_demo.hdf5,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_9,158,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00017349,0.0003634,0.00033312,0.00035272
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_0,170,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00031527,0.0005198,0.00048172,0.00051092
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_1,187,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.0003437,0.00053529,0.00049608,0.00052849
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_10,299,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00029867,0.00052839,0.00049464,0.00052699
data/armforge/raw/libero/libero_goal/open_the_top_drawer_and_put_the_bowl_inside_demo.hdf5,libero_goal,open_the_top_drawer_and_put_the_bowl_inside_demo,demo_11,228,gripper0_grip_site,"[-0.66, 0.0, 0.912]",0.00027099,0.00051543,0.0004958,0.00051373
