sample,robot_name,q,armfoundry_position,mujoco_position,position_error
41,xarm6_true,"[-1.51651433, -1.00912618, -2.04664423, 1.97598529, -1.2042007, -1.50061612]","[-0.26351293, 0.13454512, 0.8276586]","[-0.26351293, 0.13454512, 0.8276586]",0.0
42,xarm6_true,"[-4.60279528, 0.69240414, -0.50597073, -1.54750102, 0.10415276, 0.49664381]","[-0.0676105, 0.17918922, -0.16997688]","[-0.0676105, 0.17918922, -0.16997688]",0.0
43,xarm6_true,"[-3.58068954, -1.031409, -2.56834504, -0.53500446, -1.29880104, 3.17592569]","[0.5303569, -0.40655039, 0.62472431]","[0.5303569, -0.40655039, 0.62472431]",0.0
44,xarm6_true,"[0.99342908, -0.81425147, -3.60758722, 3.30722937, -1.05926041, -4.60926127]","[-0.31394647, -0.399848, 0.80061099]","[-0.31394647, -0.399848, 0.80061099]",0.0
45,xarm6_true,"[-4.64095864, -1.72148512, -0.19358797, -2.89976165, -0.21160884, 4.18201663]","[-0.05139514, 0.27938639, 0.42957001]","[-0.05139514, 0.27938639, 0.42957001]",0.0
46,xarm6_true,"[1.50700264, -1.28171866, -2.13601225, 4.82451197, 0.12179922, 2.65001575]","[-0.07461408, -0.50156873, 0.97224848]","[-0.07461408, -0.50156873, 0.97224848]",0.0
47,xarm6_true,"[-5.06666375, 0.96187073, -0.72872108, 4.09370611, 1.56649696, -1.62441961]","[0.34196737, 0.29361629, -0.07636055]","[0.34196737, 0.29361629, -0.07636055]",0.0
48,xarm6_true,"[-5.47627351, 0.09568521, -0.80703779, -3.88504171, -0.40582943, 0.45389784]","[0.36712863, 0.21104155, 0.08716767]","[0.36712863, 0.21104155, 0.08716767]",0.0
49,xarm6_true,"[3.12062645, 1.66488333, -3.4090732, -3.96757751, 2.17244162, 1.81611227]","[-0.48696476, -0.18450446, 0.48376305]","[-0.48696476, -0.18450446, 0.48376305]",0.0
50,xarm6_true,"[2.77682599, 2.08098936, -0.05853653, 4.31058012, 2.0640451, -1.31922745]","[0.19428744, 0.19468424, 0.03873021]","[0.19428744, 0.19468424, 0.03873021]",0.0
51,xarm6_true,"[1.77473734, -1.29292347, -0.79865749, 3.23823639, 1.79417694, -0.69367592]","[0.05190017, -0.11796269, 0.88236974]","[0.05190017, -0.11796269, 0.88236974]",0.0
52,xarm6_true,"[-1.53083113, -0.31552341, -3.78967636, 4.32685419, 0.92915118, -1.41348247]","[-0.18064465, 0.57486688, 0.75992051]","[-0.18064465, 0.57486688, 0.75992051]",0.0
53,xarm6_true,"[0.6035473, 0.93826048, -2.35577031, 4.15495324, 2.7522332, -1.41456747]","[0.41887551, 0.11103941, 0.54008044]","[0.41887551, 0.11103941, 0.54008044]",0.0
54,xarm6_true,"[-4.55133643, 1.09913445, 0.16293649, -4.42351138, 1.75250524, 4.08813441]","[-0.259179, -0.06827194, 0.08722942]","[-0.259179, -0.06827194, 0.08722942]",0.0
55,xarm6_true,"[5.28506292, -1.54654763, -3.5488368, 6.1307751, -1.12850345, -4.06135599]","[-0.24287609, 0.45392371, -0.14256287]","[-0.24287609, 0.45392371, -0.14256287]",0.0
56,xarm6_true,"[0.94188634, -0.20544957, -0.83614957, -3.8885723, 2.72788835, -3.55383437]","[0.02512063, 0.23980789, 0.67191089]","[0.02512063, 0.23980789, 0.67191089]",0.0
57,xarm6_true,"[3.38174844, -1.77821552, -1.97706421, -5.8740453, -0.17583246, -2.35957894]","[0.75220771, 0.23412179, 0.63739604]","[0.75220771, 0.23412179, 0.63739604]",0.0
58,xarm6_true,"[2.76144032, -0.16913039, -3.69314754, 6.22489819, 2.60350252, 5.23168086]","[0.00468238, 0.01087013, 0.75216679]","[0.00468238, 0.01087013, 0.75216679]",0.0
59,xarm6_true,"[-3.18462581, -0.42210247, -2.99125218, -4.71356541, -1.53331377, 0.04192704]","[0.22845429, 0.26207124, 0.7940396]","[0.22845429, 0.26207124, 0.7940396]",0.0
60,xarm6_true,"[-4.73584214, -1.32673742, -0.38271788, -0.19801121, -0.80484381, 2.13458101]","[-0.04468286, 0.16347904, 0.76938132]","[-0.04468286, 0.16347904, 0.76938132]",0.0
61,xarm6_true,"[-2.94222872, 0.12958097, -2.7615228, 0.20308747, 1.34571505, 0.45500415]","[-0.4453831, -0.14045603, 0.8788673]","[-0.4453831, -0.14045603, 0.8788673]",0.0
62,xarm6_true,"[-1.31187748, 1.22556603, -0.32932862, -4.02913953, -1.03397692, -4.86077719]","[-0.22705675, 0.03934348, 0.1265092]","[-0.22705675, 0.03934348, 0.1265092]",0.0
63,xarm6_true,"[6.02679025, 1.85180532, -2.97688649, 5.90503272, -0.68826246, 0.08138002]","[0.83097194, -0.13023168, 0.18272274]","[0.83097194, -0.13023168, 0.18272274]",0.0
