robot_name,num_trajectories,num_waypoints,ik_success_rate,trajectory_success_rate,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost,orientation_tolerance_rad,mean_orientation_error_rad,max_orientation_error_rad,pose_success_rate,trajectory_pose_success_rate,group,candidate_index,candidate_kind,reference_base_x,reference_base_y,reference_base_z,reference_base_yaw,base_x,base_y,base_z,base_yaw,dx_from_reference,dy_from_reference,dz_from_reference,yaw_delta_from_reference,stage,split
xarm6_true,60,4800,0.998333,0.966667,0.000492,0.01066,1.360991,0.663084,0.12779398,0.07572733,0.0,0.0047228,0.0,1.202873,0.1,0.001011,0.088883,0.998333,0.966667,libero_object,2,random_01,-0.6,0.0,0.0,0.0,-0.555051,0.048781,0.149647,-0.578997,0.044949,0.048781,0.149647,-0.578997,search,train_search
xarm6_true,60,4800,1.0,1.0,0.000477,0.001993,1.312479,0.691889,0.11044352,0.0579339,0.0,0.0048221,0.0,1.202873,0.1,0.000983,0.088828,1.0,1.0,libero_object,3,random_02,-0.6,0.0,0.0,0.0,-0.430267,0.224257,0.084864,-0.126104,0.169733,0.224257,0.084864,-0.126104,search,train_search
xarm6_true,60,4800,0.98875,0.883333,0.000776,0.017418,0.875966,0.0,0.08157018,0.00629443,0.0,0.10821596,0.0,1.202873,0.1,0.001233,0.119781,0.98875,0.883333,libero_object,4,random_03,-0.6,0.0,0.0,0.0,-0.289932,-0.328336,0.121176,0.142868,0.310068,-0.328336,0.121176,0.142868,search,train_search
xarm6_true,60,4800,0.0,0.0,0.187469,0.365968,0.999129,0.67073,0.16488786,0.14483974,0.0,0.0,9.1e-07,1.202873,0.1,0.208916,0.499693,0.0,0.0,libero_object,5,random_04,-0.6,0.0,0.0,0.0,-0.921212,-0.11732,0.0,-0.453537,-0.321212,-0.11732,0.0,-0.453537,search,train_search
xarm6_true,60,4800,1.0,1.0,0.000508,0.001992,1.296304,0.811137,0.10943219,0.06180587,0.0,0.00497639,0.0,1.202873,0.1,0.001043,0.08884,1.0,1.0,libero_object,6,random_05,-0.6,0.0,0.0,0.0,-0.500179,-0.042531,0.086322,-0.179988,0.099821,-0.042531,0.086322,-0.179988,search,train_search
xarm6_true,60,4800,0.0,0.0,0.175827,0.297751,0.882563,0.545234,0.16358428,0.13203011,0.0,0.0,0.0,1.202873,0.1,0.20452,0.551311,0.0,0.0,libero_object,7,random_06,-0.6,0.0,0.0,0.0,-0.912074,0.15099,0.093218,-0.584997,-0.312074,0.15099,0.093218,-0.584997,search,train_search
xarm6_true,60,4800,0.892708,0.433333,0.003535,0.076486,1.238665,0.393524,0.14347187,0.09928876,0.0,0.00703849,0.0,1.202873,0.1,0.004951,0.151511,0.892708,0.433333,libero_object,8,random_07,-0.6,0.0,0.0,0.0,-0.624176,-0.031356,0.16595,0.136837,-0.024176,-0.031356,0.16595,0.136837,search,train_search
xarm6_true,60,4800,0.033125,0.0,0.087553,0.204342,1.007924,0.684941,0.16033846,0.13544233,0.0,0.00795436,2.5e-07,1.202873,0.1,0.092154,0.356099,0.033125,0.0,libero_object,9,random_08,-0.6,0.0,0.0,0.0,-0.73479,0.266443,0.0,0.31692,-0.13479,0.266443,0.0,0.31692,search,train_search
xarm6_true,60,4800,0.060208,0.0,0.109357,0.279023,1.032971,0.508118,0.16312232,0.14112783,0.0,0.01652498,1e-08,1.202873,0.1,0.18309,0.61417,0.060208,0.0,libero_object,10,random_09,-0.6,0.0,0.0,0.0,-0.817963,-0.199417,0.0,0.44916,-0.217963,-0.199417,0.0,0.44916,search,train_search
xarm6_true,60,4800,0.059375,0.0,0.103355,0.262166,1.03403,0.569642,0.16291409,0.14091759,0.0,0.01788222,3e-08,1.202873,0.1,0.17214,0.59961,0.059375,0.0,libero_object,11,random_10,-0.6,0.0,0.0,0.0,-0.815804,-0.164579,0.0,0.424005,-0.215804,-0.164579,0.0,0.424005,search,train_search
xarm6_true,60,4800,0.749583,0.033333,0.011272,0.113578,1.17311,0.32651,0.13689319,0.08502129,0.0,0.00862466,0.0,1.202873,0.1,0.017601,0.2778,0.749583,0.033333,libero_object,12,random_11,-0.6,0.0,0.0,0.0,-0.598615,-0.204159,0.162251,0.441291,0.001385,-0.204159,0.162251,0.441291,search,train_search
xarm6_true,60,4800,0.339583,0.0,0.056218,0.222132,1.139056,0.517256,0.15762177,0.1229017,0.0,0.02099706,2.3e-07,1.202873,0.1,0.054129,0.354468,0.339583,0.0,libero_object,13,random_12,-0.6,0.0,0.0,0.0,-0.732569,-0.117107,0.0,-0.565474,-0.132569,-0.117107,0.0,-0.565474,search,train_search
xarm6_true,60,4800,1.0,1.0,0.000473,0.001995,1.355697,0.752455,0.11666208,0.06428006,0.0,0.00478597,0.0,1.202873,0.1,0.000969,0.088831,1.0,1.0,libero_object,14,random_13,-0.6,0.0,0.0,0.0,-0.447235,0.22912,0.074962,-0.348135,0.152765,0.22912,0.074962,-0.348135,search,train_search
xarm6_true,60,4800,1.0,1.0,0.000594,0.001993,1.068642,0.147422,0.07864177,0.01416936,0.0,0.00683676,0.0,1.202873,0.1,0.001053,0.088757,1.0,1.0,libero_object,15,random_14,-0.6,0.0,0.0,0.0,-0.355256,-0.179726,0.0,0.226913,0.244744,-0.179726,0.0,0.226913,search,train_search
xarm6_true,60,4799,0.573036,0.083333,0.017743,0.10565,1.174275,0.495277,0.150103,0.0882577,0.0,0.01875875,0.00215716,1.202873,0.1,0.028372,0.381259,0.573036,0.083333,libero_spatial,0,reference_base,-0.66,0.0,0.912,0.0,-0.66,0.0,0.912,0.0,0.0,0.0,0.0,0.0,search,train_search
xarm6_true,60,4799,0.0,0.0,0.277545,0.429786,1.005507,0.733278,0.16396061,0.12946808,0.0,0.0,3.401e-05,1.202873,0.1,0.243022,0.785871,0.0,0.0,libero_spatial,1,random_00,-0.66,0.0,0.912,0.0,-0.897495,-0.349782,0.798639,-0.184759,-0.237495,-0.349782,-0.113361,-0.184759,search,train_search
xarm6_true,60,4799,0.0,0.0,0.291759,0.440638,0.667419,0.403866,0.14361057,0.06668826,0.0,0.0,0.00231886,1.202873,0.1,0.255625,0.799349,0.0,0.0,libero_spatial,2,random_01,-0.66,0.0,0.912,0.0,-1.008582,-0.214842,1.108345,0.401708,-0.348582,-0.214842,0.196345,0.401708,search,train_search
xarm6_true,60,4799,0.0,0.0,0.212121,0.34873,0.768779,0.492084,0.15372297,0.08269443,0.0,0.0,0.00156755,1.202873,0.1,0.224755,0.862543,0.0,0.0,libero_spatial,3,random_02,-0.66,0.0,0.912,0.0,-0.925103,-0.19196,1.018731,0.583574,-0.265103,-0.19196,0.106731,0.583574,search,train_search
xarm6_true,60,4799,0.163576,0.0,0.075727,0.239656,1.138465,0.740931,0.15831428,0.11844207,0.0,0.01444427,0.00050026,1.202873,0.1,0.128843,0.705894,0.163576,0.0,libero_spatial,4,random_03,-0.66,0.0,0.912,0.0,-0.762325,0.199995,0.770688,0.05842,-0.102325,0.199995,-0.141312,0.05842,search,train_search
xarm6_true,60,4799,0.831632,0.483333,0.007272,0.11296,1.366873,0.632969,0.13922192,0.0609233,0.0,0.01298804,0.00131323,1.202873,0.1,0.018114,0.519918,0.831632,0.483333,libero_spatial,5,random_04,-0.66,0.0,0.912,0.0,-0.592197,0.202931,0.823453,-0.120913,0.067803,0.202931,-0.088547,-0.120913,search,train_search
xarm6_true,60,4799,0.163784,0.0,0.107181,0.250599,0.872826,0.453037,0.15813779,0.09354129,0.0,0.02289368,0.00195964,1.202873,0.1,0.102145,0.735294,0.163784,0.0,libero_spatial,6,random_05,-0.66,0.0,0.912,0.0,-0.74675,-0.253464,0.98238,0.080303,-0.08675,-0.253464,0.07038,0.080303,search,train_search
xarm6_true,60,4799,0.68806,0.216667,0.011824,0.094871,1.147393,0.36136,0.14592821,0.07787809,0.0,0.02088865,0.00364888,1.202873,0.1,0.017128,0.398544,0.68806,0.216667,libero_spatial,7,random_06,-0.66,0.0,0.912,0.0,-0.655673,0.088488,0.954103,-0.597581,0.004327,0.088488,0.042103,-0.597581,search,train_search
xarm6_true,60,4799,0.049177,0.0,0.108582,0.22696,1.076797,0.640697,0.16156959,0.12568774,0.0,0.00843339,0.00064052,1.202873,0.1,0.182108,0.709478,0.049177,0.0,libero_spatial,8,random_07,-0.66,0.0,0.912,0.0,-0.80017,-0.067663,0.787328,0.309083,-0.14017,-0.067663,-0.124672,0.309083,search,train_search
